,zugnr,mean_delay
0,IC 1290,9.738654147104851
1,IC 1296,9.124031007751938
2,IC 1298,8.787692307692307
3,IC 1299,9.213881019830028
4,IC 1910,33.0
5,IC 2014,9.8
6,IC 2016,5.673913043478261
7,IC 2017,12.833333333333334
8,IC 2265,8.698275862068966
9,IC 2266,8.01836969001148
10,IC 2269,8.740787801778907
11,IC 266,12.297665369649806
12,ICE 100,10.692406692406692
13,ICE 1000,14.471830985915492
14,ICE 1001,12.76083707025411
15,ICE 1002,9.292410714285714
16,ICE 1003,16.298657718120804
17,ICE 1004,9.195158850226928
18,ICE 1005,12.263754045307444
19,ICE 1006,10.591549295774648
20,ICE 1007,13.474576271186441
21,ICE 1008,9.634214186369958
22,ICE 1009,14.908424908424909
23,ICE 101,6.948208722741433
24,ICE 1010,12.602251407129456
25,ICE 103,11.39977728285078
26,ICE 105,17.264705882352942
27,ICE 106,11.107748184019371
28,ICE 107,7.782267115600449
29,ICE 108,10.50859950859951
30,ICE 1088,9.185034013605442
31,ICE 109,8.565168539325843
32,ICE 1092,15.247474747474747
33,ICE 1093,12.470297029702971
34,ICE 1100,11.294642857142858
35,ICE 1109,12.033557046979865
36,ICE 1163,17.455882352941178
37,ICE 1164,8.944444444444445
38,ICE 1205,10.445454545454545
39,ICE 122,15.924882629107982
40,ICE 152,12.45859872611465
41,ICE 16,11.507246376811594
42,ICE 1600,10.580882352941176
43,ICE 1601,14.546783625730994
44,ICE 1604,7.401972872996301
45,ICE 1605,15.148395721925134
46,ICE 1607,12.194690265486726
47,ICE 1701,9.909983633387888
48,ICE 1706,7.766478342749529
49,ICE 1715,14.416666666666666
50,ICE 200,11.201483312731767
51,ICE 201,8.669282511210762
52,ICE 202,11.63681592039801
53,ICE 203,7.77045177045177
54,ICE 205,8.37514654161782
55,ICE 206,10.460474308300395
56,ICE 22,18.862650602409637
57,ICE 255,23.391752577319586
58,ICE 314,9.552136752136752
59,ICE 316,10.374461979913917
60,ICE 4,2.0
61,ICE 500,13.251381215469614
62,ICE 501,12.190201729106628
63,ICE 502,11.46074646074646
64,ICE 503,12.437574316290132
65,ICE 504,10.278888888888888
66,ICE 505,9.885167464114833
67,ICE 506,10.070921985815604
68,ICE 507,13.74910820451843
69,ICE 508,10.448195576251456
70,ICE 509,12.785114045618247
71,ICE 510,20.67065868263473
72,ICE 511,13.37221269296741
73,ICE 512,16.986280487804876
74,ICE 513,13.34910277324633
75,ICE 514,14.166405023547881
76,ICE 515,17.53953488372093
77,ICE 516,13.232077764277035
78,ICE 517,19.75229357798165
79,ICE 518,21.726474278544543
80,ICE 519,24.937090432503275
81,ICE 521,7.295180722891566
82,ICE 522,14.131935881627621
83,ICE 523,8.455650060753342
84,ICE 524,7.759291270527226
85,ICE 525,7.0614136732329085
86,ICE 526,11.852364475201846
87,ICE 527,11.00925925925926
88,ICE 528,10.979094076655052
89,ICE 529,9.271402550091075
90,ICE 536,10.652459016393443
91,ICE 538,10.081967213114755
92,ICE 541,12.155049786628734
93,ICE 542,16.024640657084188
94,ICE 543,15.032219570405728
95,ICE 544,16.58490566037736
96,ICE 545,17.891826923076923
97,ICE 547,14.269554753309267
98,ICE 549,16.402187120291615
99,ICE 552,23.857338820301784
100,ICE 553,16.152416356877325
101,ICE 554,25.14044213263979
102,ICE 555,18.20372526193248
103,ICE 556,23.024752475247524
104,ICE 557,13.65879574970484
105,ICE 558,22.113553113553113
106,ICE 559,15.213443396226415
107,ICE 571,16.835616438356166
108,ICE 573,17.43345323741007
109,ICE 577,21.997076023391813
110,ICE 579,18.05832320777643
111,ICE 580,11.298486932599724
112,ICE 582,8.234553775743708
113,ICE 584,9.7458432304038
114,ICE 586,9.975528364849833
115,ICE 590,9.513613861386139
116,ICE 591,15.193277310924369
117,ICE 592,7.730816077953715
118,ICE 593,13.305064782096585
119,ICE 594,10.600901916572717
120,ICE 595,14.27061556329849
121,ICE 596,9.136568848758465
122,ICE 597,15.181299885974914
123,ICE 598,8.21945701357466
124,ICE 599,15.165525114155251
