nat. holidays since Dec2019,related brueckentage 2019,bayern,start_sholiday_by,end_sholiday_by,start_sholiday_nrw,end_sholiday_nrw,st_carnival,en_carnival
2019-12-24,2019-12-27,2020-01-06,2019-12-21,2020-01-06,2019-12-21,2020-01-06,2020-02-20,2020-02-25
2019-12-25,2020-05-22,2020-08-08,2020-02-22,2020-03-01,2020-04-04,2020-04-19,2021-02-11,2021-02-16
2019-12-26,2020-06-12,2020-08-15,2020-04-04,2020-04-19,2020-05-30,2020-06-02,2022-02-24,2022-03-01
2020-01-01,2021-05-14,2021-01-06,2020-06-01,2020-06-14,2020-06-27,2020-08-11,,
2020-04-10,2021-06-04,2022-01-06,2020-07-25,2020-09-07,2020-10-10,2020-10-25,,
2020-04-12,2022-05-27,2022-08-08,2020-10-31,2020-11-08,2020-12-19,2021-01-06,,
2020-05-01,2022-06-17,2022-08-15,2020-12-19,2021-01-10,2021-03-27,2021-04-11,,
2020-05-21,,,2021-03-27,2021-04-11,2021-05-22,2021-05-25,,
2020-06-01,,,2021-05-22,2021-06-06,2021-07-03,2021-08-17,,
2020-06-11,,,2021-07-30,2021-09-13,2021-10-09,2021-10-24,,
2020-10-03,,,2021-10-30,2021-11-07,2021-12-24,2022-01-09,,
2020-11-01,,,2021-12-24,2022-01-09,2022-04-09,2022-04-24,,
2020-12-24,,,2022-02-26,2022-03-06,2022-06-25,2022-08-09,,
2020-12-25,,,2022-04-09,2022-04-24,2022-10-01,2022-10-16,,
2020-12-26,,,2022-06-04,2022-06-19,2022-12-23,2023-01-08,,
2020-12-31,,,2022-07-30,2022-09-12,,,,
2021-01-01,,,2022-10-29,2022-11-06,,,,
2021-04-02,,,2022-12-24,2023-01-08,,,,
2021-04-05,,,,,,,,
2021-05-01,,,,,,,,
2021-05-13,,,,,,,,
2021-05-24,,,,,,,,
2021-06-03,,,,,,,,
2021-11-01,,,,,,,,
2021-12-24,,,,,,,,
2021-12-25,,,,,,,,
2021-12-26,,,,,,,,
2021-12-31,,,,,,,,
2022-01-01,,,,,,,,
2022-04-15,,,,,,,,
2022-04-18,,,,,,,,
2022-05-01,,,,,,,,
2022-05-26,,,,,,,,
2022-06-06,,,,,,,,
2022-06-16,,,,,,,,
2022-10-03,,,,,,,,
2022-11-01,,,,,,,,
2022-12-24,,,,,,,,
2022-12-25,,,,,,,,
2022-12-26,,,,,,,,
2022-12-31,,,,,,,,
