time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-12-14 00:00:00,3.9,1.9,87.0,0.0,0.0,220.0,16.6,31.0,992.1,0.0,4.0
2019-12-14 01:00:00,4.2,1.9,85.0,0.0,,230.0,18.7,36.0,992.1,0.0,4.0
2019-12-14 02:00:00,3.6,1.6,87.0,0.0,,210.0,14.4,26.0,993.0,0.0,4.0
2019-12-14 03:00:00,3.2,0.6,83.0,0.0,,180.0,16.2,27.0,992.3,0.0,4.0
2019-12-14 04:00:00,3.0,0.7,85.0,0.0,,160.0,17.3,26.0,991.9,0.0,3.0
2019-12-14 05:00:00,3.0,0.4,83.0,0.0,,160.0,18.0,26.0,991.0,0.0,7.0
2019-12-14 06:00:00,2.0,1.0,93.0,1.0,0.0,160.0,19.8,33.0,990.0,0.0,7.0
2019-12-14 07:00:00,2.9,1.9,93.0,0.3,,150.0,16.6,28.0,989.8,0.0,7.0
2019-12-14 08:00:00,3.6,2.1,90.0,0.3,,180.0,19.4,36.0,989.9,0.0,4.0
2019-12-14 09:00:00,4.9,3.7,92.0,0.6,,190.0,21.2,34.0,990.5,0.0,7.0
2019-12-14 10:00:00,7.7,4.3,79.0,1.3,,240.0,29.9,67.0,992.9,2.0,4.0
2019-12-14 11:00:00,8.1,2.3,67.0,0.0,,260.0,39.6,62.0,994.7,31.0,4.0
2019-12-14 12:00:00,6.5,2.8,77.0,0.1,0.0,260.0,37.4,62.0,996.6,0.0,17.0
2019-12-14 13:00:00,5.4,3.9,90.0,0.5,,250.0,24.5,49.0,997.6,0.0,17.0
2019-12-14 14:00:00,6.1,2.4,77.0,1.6,,260.0,32.8,61.0,999.7,24.0,3.0
2019-12-14 15:00:00,6.5,1.2,69.0,0.0,,250.0,28.4,51.0,1001.2,29.0,4.0
2019-12-14 16:00:00,6.5,1.2,69.0,0.0,,240.0,22.7,45.0,1002.4,0.0,4.0
2019-12-14 17:00:00,6.4,1.1,69.0,0.0,,200.0,16.6,27.0,1002.2,0.0,4.0
2019-12-14 18:00:00,6.4,0.5,66.0,0.0,0.0,190.0,19.8,35.0,1002.4,0.0,4.0
2019-12-14 19:00:00,7.0,0.0,61.0,0.0,,200.0,21.6,42.0,1002.6,0.0,4.0
2019-12-14 20:00:00,7.8,0.3,59.0,0.0,,230.0,23.0,45.0,1003.3,0.0,4.0
2019-12-14 21:00:00,7.9,1.5,64.0,0.0,,240.0,28.4,51.0,1004.6,0.0,4.0
2019-12-14 22:00:00,7.1,2.0,70.0,0.0,,250.0,25.6,53.0,1005.6,0.0,3.0
2019-12-14 23:00:00,6.8,1.7,70.0,0.0,,250.0,16.2,30.0,1006.0,0.0,4.0
2019-12-15 00:00:00,5.0,1.5,78.0,0.0,0.0,220.0,8.6,17.0,1006.2,0.0,4.0
2019-12-15 01:00:00,5.0,2.2,82.0,0.0,,170.0,9.0,13.0,1005.8,0.0,4.0
2019-12-15 02:00:00,5.7,3.2,84.0,0.1,,150.0,12.2,21.0,1005.7,0.0,7.0
2019-12-15 03:00:00,4.9,4.2,95.0,1.3,,140.0,13.3,18.0,1004.8,0.0,7.0
2019-12-15 04:00:00,5.7,4.7,93.0,0.5,,120.0,16.9,26.0,1003.7,0.0,7.0
2019-12-15 05:00:00,5.8,4.8,93.0,0.4,,150.0,18.7,33.0,1002.6,0.0,4.0
2019-12-15 06:00:00,6.8,5.6,92.0,0.0,0.0,150.0,18.0,28.0,1002.2,0.0,4.0
2019-12-15 07:00:00,7.9,6.2,89.0,0.0,,150.0,17.3,30.0,1002.3,0.0,3.0
2019-12-15 08:00:00,8.6,6.4,86.0,0.0,,170.0,19.8,31.0,1002.8,0.0,4.0
2019-12-15 09:00:00,9.4,6.5,82.0,0.0,,180.0,15.8,24.0,1003.3,0.0,4.0
2019-12-15 10:00:00,10.4,7.1,80.0,0.0,,180.0,16.6,26.0,1003.7,0.0,4.0
2019-12-15 11:00:00,12.7,7.6,71.0,0.0,,210.0,18.0,28.0,1003.4,4.0,4.0
2019-12-15 12:00:00,12.9,6.7,66.0,0.0,0.0,220.0,19.8,44.0,1003.9,2.0,4.0
2019-12-15 13:00:00,9.3,6.7,84.0,0.8,,240.0,32.4,59.0,1005.9,0.0,18.0
2019-12-15 14:00:00,8.8,7.4,91.0,0.5,,270.0,23.0,36.0,1007.5,0.0,7.0
