dates_by,holiday_by,dates_nrw,holiday_nrw,dates_bb,holiday_bb,carnival_k,holiday_k
2019-12-21,1,2019-12-21,1,2019-12-21,1,2020-02-20,1
2019-12-22,1,2019-12-22,1,2019-12-22,1,2020-02-21,1
2019-12-23,1,2019-12-23,1,2019-12-23,1,2020-02-22,1
2019-12-24,1,2019-12-24,1,2019-12-24,1,2020-02-23,1
2019-12-25,1,2019-12-25,1,2019-12-25,1,2020-02-24,1
2019-12-26,1,2019-12-26,1,2019-12-26,1,2020-02-25,1
2019-12-27,1,2019-12-27,1,2019-12-27,1,2021-02-11,1
2019-12-28,1,2019-12-28,1,2019-12-28,1,2021-02-12,1
2019-12-29,1,2019-12-29,1,2019-12-29,1,2021-02-13,1
2019-12-30,1,2019-12-30,1,2019-12-30,1,2021-02-14,1
2019-12-31,1,2019-12-31,1,2019-12-31,1,2021-02-15,1
2020-01-01,1,2020-01-01,1,2020-01-01,1,2021-02-16,1
2020-01-02,1,2020-01-02,1,2020-01-02,1,2022-02-24,1
2020-01-03,1,2020-01-03,1,2020-01-03,1,2022-02-25,1
2020-01-04,1,2020-01-04,1,2020-01-04,1,2022-02-26,1
2020-01-05,1,2020-01-05,1,2020-01-05,1,2022-02-27,1
2020-01-06,1,2020-01-06,1,2020-02-01,1,2022-02-28,1
2020-02-22,1,2020-04-04,1,2020-02-02,1,2022-03-01,1
2020-02-23,1,2020-04-05,1,2020-02-03,1,,
2020-02-24,1,2020-04-06,1,2020-02-04,1,,
2020-02-25,1,2020-04-07,1,2020-02-05,1,,
2020-02-26,1,2020-04-08,1,2020-02-06,1,,
2020-02-27,1,2020-04-09,1,2020-02-07,1,,
2020-02-28,1,2020-04-10,1,2020-02-08,1,,
2020-02-29,1,2020-04-11,1,2020-02-09,1,,
2020-03-01,1,2020-04-12,1,2020-04-04,1,,
2020-04-04,1,2020-04-13,1,2020-04-05,1,,
2020-04-05,1,2020-04-14,1,2020-04-06,1,,
2020-04-06,1,2020-04-15,1,2020-04-07,1,,
2020-04-07,1,2020-04-16,1,2020-04-08,1,,
2020-04-08,1,2020-04-17,1,2020-04-09,1,,
2020-04-09,1,2020-04-18,1,2020-04-10,1,,
2020-04-10,1,2020-04-19,1,2020-04-11,1,,
2020-04-11,1,2020-05-30,1,2020-04-12,1,,
2020-04-12,1,2020-05-31,1,2020-04-13,1,,
2020-04-13,1,2020-06-01,1,2020-04-14,1,,
2020-04-14,1,2020-06-02,1,2020-04-15,1,,
2020-04-15,1,2020-06-27,1,2020-04-16,1,,
2020-04-16,1,2020-06-28,1,2020-04-17,1,,
2020-04-17,1,2020-06-29,1,2020-04-18,1,,
2020-04-18,1,2020-06-30,1,2020-04-19,1,,
2020-04-19,1,2020-07-01,1,2020-05-21,1,,
2020-06-01,1,2020-07-02,1,2020-05-22,1,,
2020-06-02,1,2020-07-03,1,2020-05-23,1,,
2020-06-03,1,2020-07-04,1,2020-05-24,1,,
2020-06-04,1,2020-07-05,1,2020-06-25,1,,
2020-06-05,1,2020-07-06,1,2020-06-26,1,,
2020-06-06,1,2020-07-07,1,2020-06-27,1,,
2020-06-07,1,2020-07-08,1,2020-06-28,1,,
2020-06-08,1,2020-07-09,1,2020-06-29,1,,
2020-06-09,1,2020-07-10,1,2020-06-30,1,,
2020-06-10,1,2020-07-11,1,2020-07-01,1,,
2020-06-11,1,2020-07-12,1,2020-07-02,1,,
2020-06-12,1,2020-07-13,1,2020-07-03,1,,
2020-06-13,1,2020-07-14,1,2020-07-04,1,,
2020-06-14,1,2020-07-15,1,2020-07-05,1,,
2020-07-25,1,2020-07-16,1,2020-07-06,1,,
2020-07-26,1,2020-07-17,1,2020-07-07,1,,
2020-07-27,1,2020-07-18,1,2020-07-08,1,,
2020-07-28,1,2020-07-19,1,2020-07-09,1,,
2020-07-29,1,2020-07-20,1,2020-07-10,1,,
2020-07-30,1,2020-07-21,1,2020-07-11,1,,
2020-07-31,1,2020-07-22,1,2020-07-12,1,,
2020-08-01,1,2020-07-23,1,2020-07-13,1,,
2020-08-02,1,2020-07-24,1,2020-07-14,1,,
2020-08-03,1,2020-07-25,1,2020-07-15,1,,
2020-08-04,1,2020-07-26,1,2020-07-16,1,,
