time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-12-14 00:00:00,3.8,1.2,83.0,0.0,0.0,190.0,12.6,30.0,993.8,0.0,4.0
2019-12-14 01:00:00,4.2,0.5,77.0,0.0,0.0,190.0,11.5,21.0,993.7,0.0,4.0
2019-12-14 02:00:00,4.5,-0.1,72.0,0.0,0.0,200.0,17.3,38.0,992.6,0.0,4.0
2019-12-14 03:00:00,4.4,0.2,74.0,0.0,0.0,190.0,22.3,43.0,991.8,0.0,8.0
2019-12-14 04:00:00,4.0,0.7,79.0,0.0,0.0,180.0,21.2,42.0,990.3,0.0,8.0
2019-12-14 05:00:00,4.3,1.3,81.0,0.0,0.0,190.0,17.6,36.0,989.3,0.0,8.0
2019-12-14 06:00:00,5.6,2.8,82.0,0.0,0.0,220.0,19.4,45.0,989.6,0.0,8.0
2019-12-14 07:00:00,7.0,3.8,80.0,0.1,0.0,240.0,18.4,36.0,990.4,0.0,8.0
2019-12-14 08:00:00,8.1,4.3,77.0,0.0,0.0,250.0,27.0,55.0,992.7,0.0,8.0
2019-12-14 09:00:00,7.9,3.4,73.0,0.2,0.0,270.0,30.6,62.0,995.1,10.0,8.0
2019-12-14 10:00:00,8.3,2.7,68.0,0.0,0.0,270.0,34.2,65.0,997.4,40.0,4.0
2019-12-14 11:00:00,7.8,3.1,72.0,0.0,0.0,260.0,24.5,49.0,998.4,9.0,8.0
2019-12-14 12:00:00,7.2,3.6,78.0,0.4,0.0,260.0,25.9,58.0,1000.0,8.0,8.0
2019-12-14 13:00:00,8.3,0.8,59.0,0.1,0.0,270.0,31.7,71.0,1000.9,54.0,8.0
2019-12-14 14:00:00,8.3,0.0,56.0,0.0,0.0,260.0,26.6,55.0,1002.3,13.0,4.0
2019-12-14 15:00:00,8.0,0.2,58.0,0.0,0.0,220.0,20.2,37.0,1002.6,45.0,3.0
2019-12-14 16:00:00,7.7,0.6,61.0,0.0,0.0,200.0,18.7,35.0,1002.8,0.0,4.0
2019-12-14 17:00:00,8.1,-0.7,54.0,0.0,0.0,190.0,21.2,42.0,1003.2,0.0,4.0
2019-12-14 18:00:00,8.0,-0.7,54.0,0.0,0.0,210.0,15.8,36.0,1003.8,0.0,4.0
2019-12-14 19:00:00,8.2,1.1,61.0,0.0,0.0,210.0,14.8,28.0,1005.1,0.0,8.0
2019-12-14 20:00:00,7.3,2.8,73.0,0.2,0.0,250.0,12.6,24.0,1006.1,0.0,8.0
2019-12-14 21:00:00,8.5,3.1,69.0,0.1,0.0,230.0,15.8,39.0,1006.4,0.0,8.0
2019-12-14 22:00:00,8.3,3.3,71.0,0.0,0.0,250.0,16.2,32.0,1006.2,0.0,8.0
2019-12-14 23:00:00,8.2,4.0,75.0,0.0,0.0,240.0,11.2,22.0,1005.7,0.0,4.0
2019-12-15 00:00:00,7.2,4.2,81.0,0.0,0.0,190.0,10.4,19.0,1005.7,0.0,4.0
2019-12-15 01:00:00,7.0,4.7,85.0,0.3,0.0,160.0,13.3,17.0,1004.8,0.0,8.0
2019-12-15 02:00:00,6.7,5.0,89.0,0.2,0.0,150.0,12.6,16.0,1003.9,0.0,8.0
2019-12-15 03:00:00,7.0,5.9,93.0,0.2,0.0,150.0,14.4,20.0,1002.9,0.0,7.0
2019-12-15 04:00:00,7.4,6.3,93.0,0.0,0.0,130.0,11.9,18.0,1002.2,0.0,8.0
2019-12-15 05:00:00,10.0,8.1,88.0,0.0,0.0,160.0,12.2,29.0,1001.1,0.0,4.0
2019-12-15 06:00:00,12.4,7.3,71.0,0.0,0.0,210.0,22.0,48.0,1001.0,0.0,4.0
2019-12-15 07:00:00,12.7,6.9,68.0,0.0,0.0,230.0,21.2,45.0,1002.2,0.0,4.0
2019-12-15 08:00:00,12.7,6.7,67.0,0.0,0.0,240.0,22.3,49.0,1002.9,5.0,4.0
2019-12-15 09:00:00,13.0,6.3,64.0,0.0,0.0,240.0,19.8,43.0,1003.4,8.0,4.0
2019-12-15 10:00:00,13.7,6.3,61.0,0.0,0.0,230.0,20.9,44.0,1004.2,32.0,8.0
2019-12-15 11:00:00,13.0,7.0,67.0,0.0,0.0,240.0,26.6,64.0,1004.6,7.0,8.0
2019-12-15 12:00:00,13.7,7.0,64.0,0.0,0.0,240.0,20.5,43.0,1004.9,53.0,8.0
2019-12-15 13:00:00,8.9,6.0,82.0,0.2,0.0,280.0,28.8,63.0,1007.8,12.0,8.0
2019-12-15 14:00:00,8.9,5.1,77.0,0.2,0.0,300.0,29.2,52.0,1008.5,0.0,8.0
2019-12-15 15:00:00,8.2,5.7,84.0,0.4,0.0,290.0,19.8,42.0,1009.4,0.0,8.0
2019-12-15 16:00:00,8.0,6.0,87.0,0.1,0.0,270.0,6.8,22.0,1010.2,0.0,8.0
2019-12-15 17:00:00,7.9,6.7,92.0,0.2,0.0,180.0,7.2,14.0,1010.6,0.0,8.0
2019-12-15 18:00:00,7.7,6.9,95.0,0.1,0.0,160.0,6.8,13.0,1011.3,0.0,8.0
2019-12-15 19:00:00,7.9,7.1,95.0,0.1,0.0,170.0,10.8,16.0,1011.7,0.0,8.0
2019-12-15 20:00:00,8.0,7.1,94.0,0.0,0.0,170.0,12.6,19.0,1012.2,0.0,8.0
2019-12-15 21:00:00,8.2,7.1,93.0,0.0,0.0,170.0,10.8,16.0,1012.0,0.0,8.0
2019-12-15 22:00:00,8.7,7.0,89.0,0.0,0.0,170.0,12.2,16.0,1012.1,0.0,4.0
2019-12-15 23:00:00,8.0,7.4,96.0,0.0,0.0,160.0,6.8,13.0,1011.7,0.0,4.0
2019-12-16 00:00:00,7.9,7.0,94.0,0.0,0.0,110.0,4.3,6.0,1011.4,0.0,4.0
2019-12-16 01:00:00,7.5,6.9,96.0,0.0,0.0,130.0,6.1,10.0,1011.3,0.0,4.0
2019-12-16 02:00:00,7.6,6.9,95.0,0.0,0.0,140.0,8.3,12.0,1011.2,0.0,4.0
2019-12-16 03:00:00,8.3,6.9,91.0,0.0,0.0,160.0,8.6,13.0,1011.0,0.0,4.0
2019-12-16 04:00:00,8.0,6.6,91.0,0.0,0.0,160.0,10.8,17.0,1010.6,0.0,4.0
2019-12-16 05:00:00,10.2,5.6,73.0,0.0,0.0,190.0,11.5,21.0,1010.4,0.0,4.0
2019-12-16 06:00:00,8.2,5.5,83.0,0.0,0.0,170.0,13.7,21.0,1010.4,0.0,3.0
2019-12-16 07:00:00,10.0,5.8,75.0,0.0,0.0,170.0,6.8,13.0,1010.2,0.0,4.0
2019-12-16 08:00:00,7.5,5.8,89.0,0.0,0.0,160.0,10.4,18.0,1011.0,9.0,4.0
2019-12-16 09:00:00,8.1,5.7,85.0,0.0,0.0,160.0,15.5,22.0,1010.8,55.0,4.0
2019-12-16 10:00:00,9.5,6.0,79.0,0.0,0.0,160.0,11.9,20.0,1010.8,60.0,4.0
2019-12-16 11:00:00,10.7,6.3,74.0,0.0,0.0,160.0,14.4,19.0,1010.0,60.0,4.0
2019-12-16 12:00:00,12.1,6.4,68.0,0.0,0.0,160.0,13.0,17.0,1009.4,60.0,4.0
2019-12-16 13:00:00,13.2,6.5,64.0,0.0,0.0,160.0,10.1,16.0,1008.3,60.0,4.0
2019-12-16 14:00:00,13.0,6.1,63.0,0.0,0.0,180.0,7.2,11.0,1008.4,57.0,4.0
2019-12-16 15:00:00,11.9,6.6,70.0,0.0,0.0,180.0,7.6,11.0,1008.3,16.0,4.0
2019-12-16 16:00:00,11.0,6.5,74.0,0.0,0.0,170.0,9.4,14.0,1008.3,0.0,4.0
2019-12-16 17:00:00,9.3,6.4,82.0,0.0,0.0,150.0,6.8,11.0,1008.4,0.0,4.0
2019-12-16 18:00:00,8.8,6.4,85.0,0.0,0.0,150.0,13.7,20.0,1008.1,0.0,4.0
2019-12-16 19:00:00,8.4,5.1,80.0,0.0,0.0,150.0,18.4,26.0,1007.9,0.0,4.0
2019-12-16 20:00:00,8.1,3.7,74.0,0.0,0.0,150.0,13.7,20.0,1007.7,0.0,4.0
2019-12-16 21:00:00,7.0,3.2,77.0,0.0,0.0,150.0,9.7,15.0,1007.6,0.0,4.0
2019-12-16 22:00:00,7.3,2.8,73.0,0.0,0.0,140.0,12.6,21.0,1006.7,0.0,4.0
2019-12-16 23:00:00,7.2,2.7,73.0,0.0,0.0,160.0,10.4,17.0,1006.6,0.0,4.0
2019-12-17 00:00:00,7.0,2.9,75.0,0.0,0.0,150.0,10.1,21.0,1006.0,0.0,4.0
2019-12-17 01:00:00,6.9,3.0,76.0,0.0,0.0,160.0,8.6,15.0,1005.7,0.0,4.0
2019-12-17 02:00:00,6.3,2.7,78.0,0.0,0.0,160.0,11.9,18.0,1005.6,0.0,4.0
2019-12-17 03:00:00,6.1,2.9,80.0,0.0,0.0,220.0,7.2,18.0,1006.3,0.0,4.0
2019-12-17 04:00:00,6.6,3.2,79.0,0.0,0.0,230.0,4.3,9.0,1006.5,0.0,4.0
2019-12-17 05:00:00,5.1,3.1,87.0,0.0,0.0,150.0,10.1,16.0,1007.0,0.0,4.0
2019-12-17 06:00:00,4.9,3.2,89.0,0.0,0.0,160.0,14.4,20.0,1007.5,0.0,4.0
2019-12-17 07:00:00,4.8,3.0,88.0,0.0,0.0,160.0,14.4,21.0,1008.3,0.0,4.0
2019-12-17 08:00:00,5.1,3.0,86.0,0.0,0.0,160.0,15.5,21.0,1008.9,0.0,4.0
2019-12-17 09:00:00,6.4,3.7,83.0,0.0,0.0,150.0,16.2,26.0,1009.0,33.0,3.0
2019-12-17 10:00:00,7.7,3.4,74.0,0.0,0.0,140.0,13.0,22.0,1009.1,60.0,4.0
2019-12-17 11:00:00,9.1,3.7,69.0,0.0,0.0,140.0,12.6,21.0,1008.7,59.0,4.0
2019-12-17 12:00:00,10.9,4.4,64.0,0.0,0.0,150.0,15.1,22.0,1008.0,59.0,4.0
2019-12-17 13:00:00,11.2,4.6,64.0,0.0,0.0,160.0,10.4,17.0,1007.8,4.0,4.0
2019-12-17 14:00:00,10.9,4.4,64.0,0.0,0.0,160.0,12.2,19.0,1008.2,0.0,4.0
2019-12-17 15:00:00,11.0,4.4,64.0,0.0,0.0,150.0,10.8,18.0,1008.4,3.0,4.0
2019-12-17 16:00:00,11.0,4.7,65.0,0.0,0.0,160.0,13.7,19.0,1008.7,0.0,4.0
2019-12-17 17:00:00,10.2,5.0,70.0,0.0,0.0,160.0,11.2,18.0,1009.3,0.0,4.0
2019-12-17 18:00:00,9.7,5.1,73.0,0.0,0.0,150.0,16.2,24.0,1008.9,0.0,4.0
2019-12-17 19:00:00,9.3,4.7,73.0,0.0,0.0,160.0,18.4,26.0,1008.3,0.0,4.0
2019-12-17 20:00:00,9.6,4.8,72.0,0.0,0.0,180.0,11.5,27.0,1009.4,0.0,4.0
2019-12-17 21:00:00,8.5,4.5,76.0,0.0,0.0,160.0,11.5,27.0,1009.7,0.0,3.0
2019-12-17 22:00:00,8.5,4.5,76.0,0.0,0.0,170.0,18.0,28.0,1010.5,0.0,3.0
2019-12-17 23:00:00,9.3,4.3,71.0,0.0,0.0,170.0,18.7,24.0,1011.3,0.0,1.0
2019-12-18 00:00:00,9.5,3.9,68.0,0.0,0.0,190.0,6.8,15.0,1012.1,0.0,4.0
2019-12-18 01:00:00,8.6,3.6,71.0,0.0,0.0,180.0,11.5,33.0,1013.5,0.0,4.0
2019-12-18 02:00:00,8.5,4.1,74.0,0.0,0.0,260.0,7.6,11.0,1014.3,0.0,4.0
2019-12-18 03:00:00,7.6,4.2,79.0,0.0,0.0,160.0,10.8,17.0,1015.0,0.0,8.0
2019-12-18 04:00:00,7.3,4.1,80.0,0.0,0.0,160.0,11.5,20.0,1015.6,0.0,8.0
2019-12-18 05:00:00,7.5,4.1,79.0,0.0,0.0,160.0,10.4,20.0,1015.9,0.0,8.0
2019-12-18 06:00:00,7.8,4.4,79.0,0.0,0.0,160.0,7.6,14.0,1016.5,0.0,8.0
2019-12-18 07:00:00,7.1,4.9,86.0,0.1,0.0,160.0,4.7,12.0,1017.7,0.0,8.0
2019-12-18 08:00:00,7.8,5.9,88.0,0.0,0.0,160.0,8.3,12.0,1018.3,0.0,8.0
2019-12-18 09:00:00,8.1,6.2,88.0,0.1,0.0,170.0,14.8,24.0,1018.7,0.0,8.0
2019-12-18 10:00:00,8.1,6.7,91.0,0.0,0.0,170.0,16.2,25.0,1019.2,0.0,8.0
2019-12-18 11:00:00,8.8,7.1,89.0,0.0,0.0,170.0,6.8,17.0,1019.3,0.0,8.0
2019-12-18 12:00:00,9.7,7.8,88.0,0.0,0.0,150.0,6.8,10.0,1019.1,0.0,4.0
2019-12-18 13:00:00,11.5,7.8,78.0,0.0,0.0,150.0,5.0,9.0,1018.4,36.0,4.0
2019-12-18 14:00:00,11.6,8.4,81.0,0.0,0.0,40.0,4.7,8.0,1018.5,60.0,3.0
2019-12-18 15:00:00,11.0,8.4,84.0,0.0,0.0,20.0,5.8,9.0,1018.9,25.0,4.0
2019-12-18 16:00:00,10.1,8.4,89.0,0.0,0.0,340.0,5.0,10.0,1019.4,0.0,4.0
2019-12-18 17:00:00,9.7,8.5,92.0,0.0,0.0,300.0,4.7,8.0,1019.5,0.0,4.0
2019-12-18 18:00:00,9.0,8.4,96.0,0.0,0.0,110.0,3.2,6.0,1019.6,0.0,4.0
2019-12-18 19:00:00,7.8,7.8,100.0,0.0,0.0,150.0,4.7,7.0,1019.8,0.0,4.0
2019-12-18 20:00:00,7.4,7.4,100.0,0.0,0.0,160.0,7.9,15.0,1019.6,0.0,5.0
2019-12-18 21:00:00,7.4,6.7,95.0,0.0,0.0,150.0,12.2,19.0,1019.2,0.0,5.0
2019-12-18 22:00:00,6.9,6.2,95.0,0.0,0.0,160.0,7.2,21.0,1019.4,0.0,2.0
2019-12-18 23:00:00,7.8,6.6,92.0,0.0,0.0,320.0,5.4,7.0,1019.5,0.0,1.0
2019-12-19 00:00:00,7.6,6.1,90.0,0.0,0.0,270.0,7.2,10.0,1019.1,0.0,3.0
2019-12-19 01:00:00,6.6,5.9,95.0,0.0,0.0,170.0,5.0,8.0,1018.4,0.0,4.0
2019-12-19 02:00:00,6.0,5.9,99.0,0.0,0.0,150.0,3.2,6.0,1018.1,0.0,4.0
2019-12-19 03:00:00,5.3,5.2,99.0,0.0,0.0,160.0,2.5,5.0,1017.6,0.0,5.0
2019-12-19 04:00:00,5.6,5.5,99.0,0.0,0.0,160.0,9.4,15.0,1016.7,0.0,5.0
2019-12-19 05:00:00,4.6,4.0,96.0,0.0,0.0,170.0,10.4,17.0,1016.7,0.0,1.0
2019-12-19 06:00:00,4.9,3.7,92.0,0.0,0.0,170.0,10.8,20.0,1017.0,0.0,1.0
2019-12-19 07:00:00,3.7,3.1,96.0,0.0,0.0,170.0,10.4,15.0,1017.0,0.0,3.0
2019-12-19 08:00:00,3.5,3.1,97.0,0.0,0.0,160.0,11.2,19.0,1017.1,0.0,4.0
2019-12-19 09:00:00,3.7,3.1,96.0,0.0,0.0,170.0,8.3,18.0,1016.5,0.0,4.0
2019-12-19 10:00:00,4.9,3.7,92.0,0.0,0.0,150.0,11.2,19.0,1015.8,19.0,4.0
2019-12-19 11:00:00,6.4,4.4,87.0,0.0,0.0,150.0,14.0,21.0,1014.5,20.0,4.0
2019-12-19 12:00:00,8.5,4.9,78.0,0.0,0.0,150.0,12.6,22.0,1013.3,60.0,4.0
2019-12-19 13:00:00,9.7,5.5,75.0,0.0,0.0,150.0,13.3,20.0,1011.9,60.0,4.0
2019-12-19 14:00:00,10.5,5.7,72.0,0.0,0.0,150.0,10.4,20.0,1011.5,59.0,3.0
2019-12-19 15:00:00,9.7,5.1,73.0,0.0,0.0,140.0,8.6,14.0,1011.2,60.0,1.0
2019-12-19 16:00:00,9.0,5.4,78.0,0.0,0.0,150.0,10.4,16.0,1011.1,7.0,1.0
2019-12-19 17:00:00,8.4,5.1,80.0,0.0,0.0,160.0,9.4,14.0,1010.8,0.0,4.0
2019-12-19 18:00:00,7.2,5.2,87.0,0.0,0.0,150.0,11.2,16.0,1010.3,0.0,4.0
2019-12-19 19:00:00,7.3,5.1,86.0,0.0,0.0,150.0,11.9,17.0,1009.6,0.0,4.0
2019-12-19 20:00:00,6.6,4.4,86.0,0.0,0.0,150.0,9.4,12.0,1008.3,0.0,1.0
2019-12-19 21:00:00,6.0,4.0,87.0,0.0,0.0,160.0,9.4,15.0,1007.1,0.0,4.0
2019-12-19 22:00:00,6.3,3.5,82.0,0.0,0.0,160.0,13.3,23.0,1006.1,0.0,2.0
2019-12-19 23:00:00,5.2,3.0,86.0,0.0,0.0,210.0,7.6,17.0,1005.8,0.0,4.0
2019-12-20 00:00:00,5.9,3.1,82.0,0.0,0.0,160.0,7.6,12.0,1005.4,0.0,1.0
2019-12-20 01:00:00,3.4,2.4,93.0,0.0,0.0,160.0,8.3,14.0,1004.6,0.0,1.0
2019-12-20 02:00:00,4.1,2.9,92.0,0.0,0.0,150.0,10.8,21.0,1003.5,0.0,1.0
2019-12-20 03:00:00,3.4,2.5,94.0,0.0,0.0,150.0,14.4,21.0,1001.4,0.0,4.0
2019-12-20 04:00:00,3.6,2.6,93.0,0.0,0.0,160.0,15.5,31.0,1000.0,0.0,4.0
2019-12-20 05:00:00,3.9,2.1,88.0,0.0,0.0,150.0,9.0,15.0,998.7,0.0,4.0
2019-12-20 06:00:00,3.7,1.7,87.0,0.0,0.0,150.0,9.0,14.0,997.6,0.0,4.0
2019-12-20 07:00:00,4.4,1.4,81.0,0.0,0.0,150.0,11.9,18.0,996.0,0.0,2.0
2019-12-20 08:00:00,3.5,1.5,87.0,0.0,0.0,150.0,9.7,17.0,995.0,22.0,4.0
2019-12-20 09:00:00,5.8,1.5,74.0,0.0,0.0,160.0,12.2,21.0,994.3,0.0,4.0
2019-12-20 10:00:00,6.8,2.3,73.0,0.0,0.0,180.0,8.6,16.0,994.6,0.0,4.0
2019-12-20 11:00:00,8.6,3.4,70.0,0.0,0.0,270.0,10.4,22.0,994.4,0.0,8.0
2019-12-20 12:00:00,8.3,3.7,73.0,0.0,0.0,180.0,7.9,19.0,993.6,0.0,8.0
2019-12-20 13:00:00,6.7,4.7,87.0,0.2,0.0,80.0,6.1,21.0,992.1,0.0,8.0
2019-12-20 14:00:00,7.8,5.1,83.0,0.0,0.0,250.0,6.8,17.0,991.2,0.0,8.0
2019-12-20 15:00:00,7.2,4.8,85.0,0.0,0.0,220.0,7.9,22.0,991.7,0.0,8.0
2019-12-20 16:00:00,8.2,5.1,81.0,0.0,0.0,270.0,10.1,25.0,992.7,0.0,8.0
2019-12-20 17:00:00,9.3,5.5,77.0,0.0,0.0,140.0,5.8,17.0,992.6,0.0,4.0
2019-12-20 18:00:00,9.6,5.8,77.0,0.0,0.0,350.0,6.1,28.0,994.2,0.0,8.0
2019-12-20 19:00:00,9.6,4.8,72.0,0.0,0.0,260.0,14.4,29.0,994.9,0.0,8.0
2019-12-20 20:00:00,8.5,5.6,82.0,0.1,0.0,210.0,10.1,23.0,995.3,0.0,8.0
2019-12-20 21:00:00,8.2,5.8,85.0,0.0,0.0,190.0,10.8,18.0,995.6,0.0,8.0
2019-12-20 22:00:00,8.4,5.1,80.0,0.0,0.0,210.0,9.4,20.0,995.9,0.0,8.0
2019-12-20 23:00:00,8.1,4.5,78.0,0.0,0.0,210.0,11.5,22.0,996.7,0.0,4.0
2019-12-21 00:00:00,7.3,4.4,82.0,0.0,0.0,200.0,10.4,21.0,997.2,0.0,4.0
2019-12-21 01:00:00,6.5,4.0,84.0,0.0,0.0,170.0,11.5,22.0,997.6,0.0,3.0
2019-12-21 02:00:00,6.4,3.6,82.0,0.0,0.0,190.0,12.6,21.0,997.9,0.0,1.0
2019-12-21 03:00:00,5.1,3.0,86.0,0.0,0.0,180.0,12.2,22.0,997.6,0.0,3.0
2019-12-21 04:00:00,4.1,2.9,92.0,0.0,0.0,160.0,13.3,23.0,997.5,0.0,1.0
2019-12-21 05:00:00,3.9,2.9,93.0,0.0,0.0,150.0,11.5,18.0,997.1,0.0,1.0
2019-12-21 06:00:00,3.5,2.6,94.0,0.0,0.0,160.0,10.1,15.0,996.8,0.0,1.0
2019-12-21 07:00:00,3.4,2.2,92.0,0.0,0.0,170.0,8.6,13.0,996.8,0.0,4.0
2019-12-21 08:00:00,2.4,2.0,97.0,0.0,0.0,130.0,4.3,8.0,997.2,0.0,4.0
2019-12-21 09:00:00,4.0,3.1,94.0,0.0,0.0,160.0,6.1,11.0,997.1,13.0,4.0
2019-12-21 10:00:00,4.2,3.0,92.0,0.0,0.0,140.0,7.2,13.0,997.1,10.0,4.0
2019-12-21 11:00:00,5.7,3.5,86.0,0.0,0.0,150.0,8.3,13.0,996.5,4.0,4.0
2019-12-21 12:00:00,8.0,3.8,75.0,0.0,0.0,150.0,7.9,15.0,995.5,38.0,4.0
2019-12-21 13:00:00,9.7,3.4,65.0,0.0,0.0,220.0,8.6,22.0,994.7,46.0,3.0
2019-12-21 14:00:00,9.7,3.4,65.0,0.0,0.0,220.0,12.2,29.0,994.4,60.0,1.0
2019-12-21 15:00:00,8.9,2.9,66.0,0.0,0.0,230.0,9.7,25.0,994.0,34.0,1.0
2019-12-21 16:00:00,8.5,3.1,69.0,0.0,0.0,220.0,6.5,12.0,993.7,0.0,4.0
2019-12-21 17:00:00,8.1,3.4,72.0,0.0,0.0,200.0,8.6,19.0,993.8,0.0,3.0
2019-12-21 18:00:00,7.4,3.3,75.0,0.0,0.0,200.0,9.0,19.0,992.8,0.0,3.0
2019-12-21 19:00:00,6.0,3.2,82.0,0.0,0.0,170.0,9.0,16.0,992.0,0.0,2.0
2019-12-21 20:00:00,5.3,2.8,84.0,0.0,0.0,170.0,10.8,15.0,991.1,0.0,2.0
2019-12-21 21:00:00,4.5,2.4,86.0,0.0,0.0,150.0,13.0,20.0,990.5,0.0,4.0
2019-12-21 22:00:00,3.5,1.9,89.0,0.0,0.0,150.0,11.5,17.0,990.2,0.0,4.0
2019-12-21 23:00:00,4.0,2.2,88.0,0.0,0.0,160.0,12.6,19.0,989.7,0.0,4.0
2019-12-22 00:00:00,4.8,3.0,88.0,0.6,0.0,160.0,11.2,17.0,989.9,0.0,8.0
