time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-12-15 00:00:00,4.4,0.4,75.0,0.0,0.0,240.0,36.4,53.0,1002.0,0.0,3.0
2019-12-15 01:00:00,4.0,0.2,76.0,0.0,,230.0,34.6,48.0,1002.4,0.0,3.0
2019-12-15 02:00:00,3.7,0.4,79.0,0.0,,200.0,22.3,32.0,1002.2,0.0,4.0
2019-12-15 03:00:00,3.9,0.8,80.0,0.0,,180.0,18.7,26.0,1000.9,0.0,4.0
2019-12-15 04:00:00,5.4,2.0,79.0,0.0,,190.0,20.2,32.0,999.2,0.0,7.0
2019-12-15 05:00:00,5.6,3.4,86.0,0.0,,190.0,28.8,48.0,998.3,0.0,7.0
2019-12-15 06:00:00,5.5,4.3,92.0,0.6,0.0,190.0,34.2,52.0,998.0,0.0,7.0
2019-12-15 07:00:00,7.1,4.9,86.0,0.4,,190.0,34.6,48.0,997.2,0.0,7.0
2019-12-15 08:00:00,8.0,4.9,81.0,0.0,,210.0,36.0,51.0,997.6,0.0,2.0
2019-12-15 09:00:00,8.8,5.2,78.0,0.0,,220.0,34.2,51.0,997.8,28.0,3.0
2019-12-15 10:00:00,9.8,6.0,77.0,0.0,,230.0,39.6,57.0,998.9,10.0,3.0
2019-12-15 11:00:00,7.8,5.4,85.0,0.2,,250.0,36.0,55.0,1001.1,1.0,7.0
2019-12-15 12:00:00,8.7,3.7,71.0,0.0,0.0,250.0,34.9,61.0,1001.4,0.0,4.0
2019-12-15 13:00:00,7.8,2.3,68.0,0.0,,240.0,34.2,50.0,1002.6,13.0,4.0
2019-12-15 14:00:00,7.4,1.9,68.0,0.0,,240.0,29.5,45.0,1004.1,0.0,4.0
2019-12-15 15:00:00,6.2,1.5,72.0,0.0,,240.0,22.3,42.0,1005.7,0.0,4.0
2019-12-15 16:00:00,3.9,0.6,79.0,0.0,,230.0,14.0,21.0,1006.6,0.0,4.0
2019-12-15 17:00:00,5.2,1.7,78.0,0.0,,210.0,17.6,25.0,1007.1,0.0,4.0
2019-12-15 18:00:00,5.4,1.3,75.0,0.0,0.0,200.0,18.7,26.0,1007.8,0.0,4.0
2019-12-15 19:00:00,5.5,1.6,76.0,0.0,,210.0,17.3,30.0,1008.9,0.0,4.0
