time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-12-14 00:00:00,5.5,3.3,86.0,0.3,0.0,210.0,24.1,37.0,990.2,0.0,7.0
2019-12-14 01:00:00,5.6,3.3,85.0,0.0,0.0,207.0,22.2,37.0,990.1,0.0,7.0
2019-12-14 02:00:00,5.7,2.9,82.0,0.0,0.0,200.0,22.2,35.2,989.9,0.0,7.0
2019-12-14 03:00:00,5.3,3.3,87.0,0.2,0.0,198.0,20.4,35.2,989.7,0.0,7.0
2019-12-14 04:00:00,4.5,3.3,92.0,0.9,0.0,194.0,22.2,37.0,988.7,0.0,7.0
2019-12-14 05:00:00,4.4,3.5,94.0,1.1,0.0,192.0,22.2,38.9,987.7,0.0,7.0
2019-12-14 06:00:00,4.6,4.0,96.0,0.1,0.0,196.0,24.1,44.5,986.6,0.0,7.0
2019-12-14 07:00:00,5.1,4.5,96.0,0.4,0.0,203.0,24.1,46.3,988.1,0.0,7.0
2019-12-14 08:00:00,6.1,5.5,96.0,0.4,0.0,216.0,24.1,46.3,989.5,0.0,7.0
2019-12-14 09:00:00,7.6,3.8,77.0,0.2,0.0,225.0,25.9,46.3,990.7,41.0,7.0
2019-12-14 10:00:00,7.9,2.8,70.0,0.0,0.0,232.0,29.6,50.0,992.2,16.0,7.0
2019-12-14 11:00:00,7.8,3.6,75.0,0.0,0.0,239.0,31.5,53.7,993.4,0.0,17.0
2019-12-14 12:00:00,8.4,1.3,61.0,0.0,0.0,241.0,35.2,55.5,995.0,28.0,3.0
2019-12-14 13:00:00,8.6,2.4,65.0,0.0,0.0,239.0,35.2,57.4,996.3,45.0,3.0
2019-12-14 14:00:00,8.7,1.8,62.0,0.0,0.0,236.0,33.3,55.5,997.2,2.0,3.0
2019-12-14 15:00:00,8.5,3.1,69.0,0.0,0.0,228.0,31.5,53.7,997.9,0.0,3.0
2019-12-14 16:00:00,8.0,4.0,76.0,0.0,0.0,228.0,29.6,51.8,999.1,0.0,17.0
2019-12-14 17:00:00,8.2,3.8,74.0,0.0,0.0,226.0,27.8,51.8,999.5,0.0,17.0
2019-12-14 18:00:00,8.4,3.4,71.0,0.0,0.0,224.0,29.6,51.8,1000.4,0.0,3.0
2019-12-14 19:00:00,8.0,4.2,77.0,0.0,0.0,224.0,27.8,50.0,1001.4,0.0,3.0
2019-12-14 20:00:00,7.7,3.2,73.0,0.0,0.0,222.0,25.9,46.3,1002.1,0.0,3.0
2019-12-14 21:00:00,7.7,3.7,76.0,0.0,0.0,220.0,22.2,40.8,1002.8,0.0,3.0
2019-12-14 22:00:00,7.5,3.4,75.0,0.0,0.0,219.0,18.5,35.2,1002.7,0.0,3.0
2019-12-14 23:00:00,7.1,3.5,78.0,0.0,0.0,211.0,14.8,29.6,1002.9,0.0,3.0
2019-12-15 00:00:00,7.6,4.4,80.0,0.0,0.0,205.0,13.0,24.1,1002.7,0.0,3.0
2019-12-15 01:00:00,7.9,4.5,79.0,0.0,0.0,198.0,11.1,22.2,1001.7,0.0,4.0
2019-12-15 02:00:00,7.3,5.8,90.0,1.0,0.0,180.0,11.1,22.2,1000.7,0.0,7.0
2019-12-15 03:00:00,7.2,6.6,96.0,1.8,0.0,184.0,11.1,22.2,1000.0,0.0,7.0
2019-12-15 04:00:00,8.1,7.7,97.0,1.4,0.0,190.0,13.0,25.9,999.3,0.0,7.0
2019-12-15 05:00:00,8.7,8.3,97.0,1.1,0.0,193.0,16.7,31.5,999.1,0.0,7.0
2019-12-15 06:00:00,9.2,8.6,96.0,1.1,0.0,200.0,18.5,37.0,998.9,0.0,7.0
2019-12-15 07:00:00,9.3,8.5,95.0,0.1,0.0,202.0,20.4,40.8,999.4,0.0,7.0
2019-12-15 08:00:00,9.9,8.3,90.0,0.0,0.0,204.0,20.4,40.8,1000.0,0.0,7.0
2019-12-15 09:00:00,10.4,8.3,87.0,0.0,0.0,209.0,20.4,40.8,1000.6,0.0,7.0
2019-12-15 10:00:00,9.3,6.9,85.0,1.0,0.0,212.0,20.4,40.8,1001.5,0.0,7.0
2019-12-15 11:00:00,9.5,5.9,78.0,0.0,0.0,220.0,20.4,40.8,1002.3,0.0,7.0
2019-12-15 12:00:00,9.9,5.7,75.0,0.0,0.0,226.0,22.2,40.8,1003.1,0.0,7.0
2019-12-15 13:00:00,10.0,5.8,75.0,0.0,0.0,226.0,20.4,38.9,1004.0,0.0,7.0
2019-12-15 14:00:00,9.8,4.8,71.0,0.0,0.0,226.0,20.4,38.9,1005.2,0.0,3.0
2019-12-15 15:00:00,9.7,4.9,72.0,0.0,0.0,224.0,16.7,35.2,1005.8,0.0,3.0
2019-12-15 16:00:00,9.4,4.8,73.0,0.0,0.0,223.0,16.7,33.3,1006.6,0.0,3.0
2019-12-15 17:00:00,9.4,4.4,71.0,0.0,0.0,221.0,14.8,31.5,1007.2,0.0,3.0
2019-12-15 18:00:00,9.1,4.5,73.0,0.0,0.0,216.0,14.8,31.5,1007.9,0.0,3.0
2019-12-15 19:00:00,8.7,5.4,80.0,0.0,0.0,212.0,13.0,29.6,1008.5,0.0,3.0
2019-12-15 20:00:00,8.3,5.8,84.0,0.0,0.0,209.0,11.1,25.9,1008.7,0.0,3.0
2019-12-15 21:00:00,8.2,5.7,84.0,0.0,0.0,210.0,9.3,22.2,1009.2,0.0,3.0
2019-12-15 22:00:00,8.5,5.4,81.0,0.0,0.0,208.0,7.4,20.4,1009.3,0.0,3.0
