time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-12-14 00:00:00,3.8,2.0,88.0,0.0,0.0,200.0,11.2,20.0,986.3,0.0,7.0
2019-12-14 01:00:00,4.2,2.2,87.0,0.0,0.0,220.0,15.1,26.0,986.6,0.0,7.0
2019-12-14 02:00:00,4.5,1.9,83.0,0.0,0.0,210.0,14.0,32.0,986.9,0.0,8.0
2019-12-14 03:00:00,4.6,1.6,81.0,0.0,0.0,210.0,11.2,28.0,986.4,0.0,4.0
2019-12-14 04:00:00,4.8,1.3,78.0,0.0,0.0,210.0,18.7,34.0,985.5,0.0,4.0
2019-12-14 05:00:00,4.4,1.3,80.0,0.0,0.0,200.0,18.4,34.0,984.7,0.0,8.0
2019-12-14 06:00:00,4.4,1.4,81.0,0.1,0.0,180.0,19.8,30.0,984.0,0.0,8.0
2019-12-14 07:00:00,3.8,1.5,85.0,0.6,0.0,170.0,19.4,31.0,983.3,0.0,8.0
2019-12-14 08:00:00,3.2,1.2,87.0,0.9,0.0,180.0,18.0,34.0,983.8,0.0,8.0
2019-12-14 09:00:00,3.2,1.6,89.0,0.4,0.0,200.0,10.8,26.0,985.9,0.0,7.0
2019-12-14 10:00:00,4.2,1.2,81.0,0.0,0.0,280.0,28.1,57.0,988.3,0.0,8.0
2019-12-14 11:00:00,5.2,1.7,78.0,0.0,0.0,270.0,33.1,57.0,989.9,1.0,4.0
2019-12-14 12:00:00,5.9,1.6,74.0,0.0,0.0,260.0,21.2,38.0,990.9,2.0,4.0
2019-12-14 13:00:00,6.1,1.6,73.0,0.0,0.0,240.0,23.4,44.0,991.9,0.0,8.0
2019-12-14 14:00:00,5.4,0.9,73.0,0.0,0.0,250.0,27.4,51.0,993.7,0.0,8.0
2019-12-14 15:00:00,5.3,0.7,72.0,0.0,0.0,240.0,22.7,45.0,994.8,0.0,4.0
2019-12-14 16:00:00,5.6,0.6,70.0,0.0,0.0,220.0,20.2,40.0,995.1,0.0,4.0
2019-12-14 17:00:00,5.0,1.5,78.0,0.4,0.0,220.0,22.7,38.0,995.1,0.0,8.0
2019-12-14 18:00:00,5.7,2.2,78.0,0.2,0.0,210.0,22.7,50.0,994.5,0.0,8.0
2019-12-14 19:00:00,5.5,2.0,78.0,0.7,0.0,250.0,32.0,58.0,995.9,0.0,8.0
2019-12-14 20:00:00,5.7,0.0,67.0,0.0,0.0,260.0,36.7,65.0,997.8,0.0,8.0
2019-12-14 21:00:00,5.3,-1.0,64.0,0.0,0.0,260.0,38.5,59.0,999.5,0.0,3.0
